address,country_code,house_number,street,town,state,postal_code,country
"57 TARBERT STREET, ALEXANDRA",NZ,57,TARBERT STREET,ALEXANDRA,,,
"24 SAWMILL ROAD, QUEENSTOWN",NZ,24,SAWMILL ROAD,QUEENSTOWN,,,
"48A PETER STREET, CAVERSHAM, DUNEDIN",NZ,48A,PETER STREET,DUNEDIN,,,
"37 BEDFORD STREET, ARROWTOWN",NZ,37,BEDFORD STREET,ARROWTOWN,,,
"315 RATTRAY STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,315,RATTRAY STREET,DUNEDIN,,,
"31 LOMOND CRESCENT, QUEENSTOWN",NZ,31,LOMOND CRESCENT,QUEENSTOWN,,,
"8 RUNCIMAN STREET, ABBOTSFORD, DUNEDIN",NZ,8,RUNCIMAN STREET,DUNEDIN,,,
"3 LINCOLN STREET, HALFWAY BUSH, DUNEDIN",NZ,3,LINCOLN STREET,DUNEDIN,,,
"18 PRESTON DRIVE, ARROWTOWN",NZ,18,PRESTON DRIVE,ARROWTOWN,,,
"18 HARBOUR VIEW HEIGHTS, PICTON",NZ,18,HARBOUR VIEW HEIGHTS,PICTON,,,
"17 DRYDEN STREET, WHATAUPOKO, GISBORNE",NZ,17,DRYDEN STREET,GISBORNE,,,
"27 HERRON STREET, BROCKVILLE, DUNEDIN",NZ,27,HERRON STREET,DUNEDIN,,,
"1 COBDEN STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,1,COBDEN STREET,DUNEDIN,,,
"210 WAKARI ROAD, HELENSBURGH, DUNEDIN",NZ,210,WAKARI ROAD,DUNEDIN,,,
"10 PARSONS LANE, OTEMATATA",NZ,10,PARSONS LANE,OTEMATATA,,,
"31 DAKOTA PLACE, WALDRONVILLE, DUNEDIN",NZ,31,DAKOTA PLACE,DUNEDIN,,,
"124 GLEN ROAD, THE GLEN, DUNEDIN",NZ,124,GLEN ROAD,DUNEDIN,,,
"26 LEES STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,26,LEES STREET,DUNEDIN,,,
"130 MOUNT IRON DRIVE, WANAKA",NZ,130,MOUNT IRON DRIVE,WANAKA,,,
"154 PARK STREET, QUEENSTOWN",NZ,154,PARK STREET,QUEENSTOWN,,,
"108 NEPLUSULTRA STREET, CROMWELL",NZ,108,NEPLUSULTRA STREET,CROMWELL,,,
"16 WILEY ROAD, WANAKA",NZ,16,WILEY ROAD,WANAKA,,,
"226 SOUTH ROAD, CAVERSHAM, DUNEDIN",NZ,226,SOUTH ROAD,DUNEDIN,,,
"33B NGARARA ROAD, WAIKANAE",NZ,33B,NGARARA ROAD,WAIKANAE,,,
"120 BEACHLANDS ROAD, BEACHLANDS, AUCKLAND",NZ,120,BEACHLANDS ROAD,AUCKLAND,AUCKLAND,,
"23 WILLIAM STREET, PETONE, LOWER HUTT",NZ,23,WILLIAM STREET,LOWER HUTT,,,
"35 SALMOND STREET, HALFWAY BUSH, DUNEDIN",NZ,35,SALMOND STREET,DUNEDIN,,,
"16 FIFIELD STREET, ROSLYN, DUNEDIN",NZ,16,FIFIELD STREET,DUNEDIN,,,
"4 PAISLEY STREET, BALCLUTHA",NZ,4,PAISLEY STREET,BALCLUTHA,,,
"1213 GORDONTON ROAD, GORDONTON, HAMILTON",NZ,1213,GORDONTON ROAD,HAMILTON,,,
"61 ARONUI ROAD, BRIDGE HILL, ALEXANDRA",NZ,61,ARONUI ROAD,ALEXANDRA,,,
"74 EASTWOOD RISE, WAIMAIRI BEACH, CHRISTCHURCH",NZ,74,EASTWOOD RISE,CHRISTCHURCH,,,
"39 BRAESIDE, KINMONT PARK, MOSGIEL",NZ,39,BRAESIDE,MOSGIEL,,,
"3 GREEN STREET, MOSGIEL",NZ,3,GREEN STREET,MOSGIEL,,,
"64 LEWIN STREET, BALCLUTHA",NZ,64,LEWIN STREET,BALCLUTHA,,,
"10 LOOP ROAD, BENHAR, BALCLUTHA",NZ,10,LOOP ROAD,BALCLUTHA,,,
"56A JENSEN ROAD, OMANAWA",NZ,56A,JENSEN ROAD,OMANAWA,,,
"23 SAWMILL ROAD, QUEENSTOWN",NZ,23,SAWMILL ROAD,QUEENSTOWN,,,
"52 MCDONALD STREET, MOSGIEL",NZ,52,MCDONALD STREET,MOSGIEL,,,
"473 BEATTIES ROAD, TAPANUI",NZ,473,BEATTIES ROAD,TAPANUI,,,
"10 FRYE CRESCENT, ALBERT TOWN, WANAKA",NZ,10,FRYE CRESCENT,WANAKA,,,
"21 DUNGANNON STREET, RANFURLY",NZ,21,DUNGANNON STREET,RANFURLY,,,
"118 HAZLETT STREET, CLYDE",NZ,118,HAZLETT STREET,CLYDE,,,
"11 ADAM STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,11,ADAM STREET,DUNEDIN,,,
"24 CROWN STREET, BALCLUTHA",NZ,24,CROWN STREET,BALCLUTHA,,,
"236 TELEGRAPH ROAD, INCH CLUTHA, KAITANGATA",NZ,236,TELEGRAPH ROAD,KAITANGATA,,,
"62 WALTON STREET, KAIKORAI, DUNEDIN",NZ,62,WALTON STREET,DUNEDIN,,,
"256 MIDDLETON ROAD, CORSTORPHINE, DUNEDIN",NZ,256,MIDDLETON ROAD,DUNEDIN,,,
"138 MOWAT ROAD, CLYDEVALE",NZ,138,MOWAT ROAD,CLYDEVALE,,,
"40 BOUNDARY STREET, TAPANUI",NZ,40,BOUNDARY STREET,TAPANUI,,,
"11 TYNE STREET, MOSGIEL",NZ,11,TYNE STREET,MOSGIEL,,,
"10 AMY PLACE, RANGIORA",NZ,10,AMY PLACE,RANGIORA,,,
"1052 HIGHCLIFF ROAD, SANDYMOUNT, DUNEDIN",NZ,1052,HIGHCLIFF ROAD,DUNEDIN,,,
"31 EDINBURGH DRIVE, QUEENSTOWN",NZ,31,EDINBURGH DRIVE,QUEENSTOWN,,,
"1 QUEEN STREET, MILTON",NZ,1,QUEEN STREET,MILTON,,,
"3 NUTSFORD STREET, BROCKVILLE, DUNEDIN",NZ,3,NUTSFORD STREET,DUNEDIN,,,
"23 HOOD STREET, WAKARI, DUNEDIN",NZ,23,HOOD STREET,DUNEDIN,,,
"11 RONAY STREET, BRADFORD, DUNEDIN",NZ,11,RONAY STREET,DUNEDIN,,,
"140 SOPER ROAD, TE HOUKA, BALCLUTHA",NZ,140,SOPER ROAD,BALCLUTHA,,,
"30 ELM ROW, DUNEDIN CENTRAL, DUNEDIN",NZ,30,ELM ROW,DUNEDIN,,,
"63 MARTIN ROAD, FAIRFIELD, DUNEDIN",NZ,63,MARTIN ROAD,DUNEDIN,,,
"1 DEE STREET, KINMONT PARK, MOSGIEL",NZ,1,DEE STREET,MOSGIEL,,,
"105 DALGLEISH ROAD, WAITEPEKA, BALCLUTHA",NZ,105,DALGLEISH ROAD,BALCLUTHA,,,
"80 COLUMBA AVENUE, CALTON HILL, DUNEDIN",NZ,80,COLUMBA AVENUE,DUNEDIN,,,
"194 CHURCH ROAD, TE KAMO, WHANGAREI",NZ,194,CHURCH ROAD,WHANGAREI,,,
"22 DURHAM STREET, TAPANUI",NZ,22,DURHAM STREET,TAPANUI,,,
"65 GILKISON STREET, HALFWAY BUSH, DUNEDIN",NZ,65,GILKISON STREET,DUNEDIN,,,
"1 CUMBERLAND PLACE, TAPANUI",NZ,1,CUMBERLAND PLACE,TAPANUI,,,
"23 FASTNET STREET, ALEXANDRA",NZ,23,FASTNET STREET,ALEXANDRA,,,
"94 MATAI ROAD, WANAKA",NZ,94,MATAI ROAD,WANAKA,,,
"22 HIGH STREET, PETONE, LOWER HUTT",NZ,22,HIGH STREET,LOWER HUTT,,,
"10 CONEY HILL ROAD, SAINT CLAIR, DUNEDIN",NZ,10,CONEY HILL ROAD,DUNEDIN,,,
"11 HINAHINA ROAD, OWAKA",NZ,11,HINAHINA ROAD,OWAKA,,,
"25 ASHMORE STREET, HALFWAY BUSH, DUNEDIN",NZ,25,ASHMORE STREET,DUNEDIN,,,
"77 FACTORY ROAD, MOSGIEL",NZ,77,FACTORY ROAD,MOSGIEL,,,
"30 RYEHILL STREET, CALTON HILL, DUNEDIN",NZ,30,RYEHILL STREET,DUNEDIN,,,
"105 OBAN STREET, GLENORCHY",NZ,105,OBAN STREET,GLENORCHY,,,
"2/76 GARREG ROAD, BRYNDWR, CHRISTCHURCH",NZ,2/76,GARREG ROAD,CHRISTCHURCH,,,
"9 MANCHESTER STREET, PETONE, LOWER HUTT",NZ,9,MANCHESTER STREET,LOWER HUTT,,,
"90 PLAYFAIR STREET, CAVERSHAM, DUNEDIN",NZ,90,PLAYFAIR STREET,DUNEDIN,,,
"25 INGS AVENUE, SAINT CLAIR, DUNEDIN",NZ,25,INGS AVENUE,DUNEDIN,,,
"22 QUEEN STREET, BRIGHTON, DUNEDIN",NZ,22,QUEEN STREET,DUNEDIN,,,
"174 BAVERSTOCK ROAD, ASHLEY DOWNS, CLINTON",NZ,174,BAVERSTOCK ROAD,CLINTON,,,
"536 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,536,PENINSULA ROAD,QUEENSTOWN,,,
"10 PALMER PLACE, TAIERI BEACH, TAIERI MOUTH",NZ,10,PALMER PLACE,TAIERI MOUTH,,,
"92 JOHNSON STREET, MILTON",NZ,92,JOHNSON STREET,MILTON,,,
"11 BROWNSTON STREET, WANAKA",NZ,11,BROWNSTON STREET,WANAKA,,,
"94 CENTENNIAL AVENUE, ALEXANDRA",NZ,94,CENTENNIAL AVENUE,ALEXANDRA,,,
"41 ELM TREE AVENUE, FRANKTON, QUEENSTOWN",NZ,41,ELM TREE AVENUE,QUEENSTOWN,,,
"17 OXFORD STREET, BALCLUTHA",NZ,17,OXFORD STREET,BALCLUTHA,,,
"43 RIVERSIDE ROAD, FRANKTON, QUEENSTOWN",NZ,43,RIVERSIDE ROAD,QUEENSTOWN,,,
"37 NICHOLSON STREET, FORBURY, DUNEDIN",NZ,37,NICHOLSON STREET,DUNEDIN,,,
"4 CHARLTON AVENUE, MOSGIEL",NZ,4,CHARLTON AVENUE,MOSGIEL,,,
"12 LAKE ESPLANADE, QUEENSTOWN",NZ,12,LAKE ESPLANADE,QUEENSTOWN,,,
"14 SHIPKA STREET, ABBOTSFORD, DUNEDIN",NZ,14,SHIPKA STREET,DUNEDIN,,,
"6 EDNAM STREET, ROXBURGH",NZ,6,EDNAM STREET,ROXBURGH,,,
"132 DISTRICT ROAD, GREEN ISLAND, DUNEDIN",NZ,132,DISTRICT ROAD,DUNEDIN,,,
"402 AKATORE ROAD, TAIERI BEACH, TAIERI MOUTH",NZ,402,AKATORE ROAD,TAIERI MOUTH,,,
"35 GLEN ROAD, MORNINGTON, DUNEDIN",NZ,35,GLEN ROAD,DUNEDIN,,,
"15 CAPLES PLACE, FERNHILL, QUEENSTOWN",NZ,15,CAPLES PLACE,QUEENSTOWN,,,
"19 COCHRANE STREET, MORNINGTON, DUNEDIN",NZ,19,COCHRANE STREET,DUNEDIN,,,
"97 KAIKORAI VALLEY ROAD, GLENROSS, DUNEDIN",NZ,97,KAIKORAI VALLEY ROAD,DUNEDIN,,,
"16 HAMPTON GROVE, MOSGIEL",NZ,16,HAMPTON GROVE,MOSGIEL,,,
"454 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,454,PENINSULA ROAD,QUEENSTOWN,,,
"5 HAIG STREET, MORNINGTON, DUNEDIN",NZ,5,HAIG STREET,DUNEDIN,,,
"228 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,228,MAIN SOUTH ROAD,DUNEDIN,,,
"10 DRIVERS ROAD, MAORI HILL, DUNEDIN",NZ,10,DRIVERS ROAD,DUNEDIN,,,
"4 WEIR STREET, GREEN ISLAND, DUNEDIN",NZ,4,WEIR STREET,DUNEDIN,,,
"5 RYLEY STREET, OWAKA",NZ,5,RYLEY STREET,OWAKA,,,
"15 LISBURN AVENUE, CAVERSHAM, DUNEDIN",NZ,15,LISBURN AVENUE,DUNEDIN,,,
"124 UPTON STREET, WANAKA",NZ,124,UPTON STREET,WANAKA,,,
"22 SARGOOD DRIVE, WANAKA",NZ,22,SARGOOD DRIVE,WANAKA,,,
"63 TYNE STREET, MOSGIEL",NZ,63,TYNE STREET,MOSGIEL,,,
"10 RATA STREET, KAKA POINT",NZ,10,RATA STREET,KAKA POINT,,,
"10 EDGAR STREET, WAKARI, DUNEDIN",NZ,10,EDGAR STREET,DUNEDIN,,,
"1114 BRIGHTON ROAD, BRIGHTON, DUNEDIN",NZ,1114,BRIGHTON ROAD,DUNEDIN,,,
"18 MCFADDEN DRIVE, MOSGIEL",NZ,18,MCFADDEN DRIVE,MOSGIEL,,,
"39 THOMAS STREET, RANFURLY",NZ,39,THOMAS STREET,RANFURLY,,,
"2 JENKINS PLACE, ARROWTOWN",NZ,2,JENKINS PLACE,ARROWTOWN,,,
"124 HARGEST CRESCENT, SAINT CLAIR, DUNEDIN",NZ,124,HARGEST CRESCENT,DUNEDIN,,,
"1 EDINBURGH STREET, GREEN ISLAND, DUNEDIN",NZ,1,EDINBURGH STREET,DUNEDIN,,,
"57 FORFAR STREET, MOSGIEL",NZ,57,FORFAR STREET,MOSGIEL,,,
"139 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,139,MAIN SOUTH ROAD,DUNEDIN,,,
"3 EDWARD STREET, MILTON",NZ,3,EDWARD STREET,MILTON,,,
"370 LOWER SHOTOVER ROAD, SPEARGRASS FLAT, QUEENSTOWN",NZ,370,LOWER SHOTOVER ROAD,QUEENSTOWN,,,
"20 DERWENT STREET, NASEBY",NZ,20,DERWENT STREET,NASEBY,,,
"497 SOUTH ROAD, CALTON HILL, DUNEDIN",NZ,497,SOUTH ROAD,DUNEDIN,,,
"28 MALVERN STREET, WOODHAUGH, DUNEDIN",NZ,28,MALVERN STREET,DUNEDIN,,,
"53 WESLEY STREET, SOUTH DUNEDIN, DUNEDIN",NZ,53,WESLEY STREET,DUNEDIN,,,
"154 SOUTH ROAD, CAVERSHAM, DUNEDIN",NZ,154,SOUTH ROAD,DUNEDIN,,,
"82 ROCHE STREET, WANAKA",NZ,82,ROCHE STREET,WANAKA,,,
"3 LEES STREET, DUNEDIN CENTRAL, DUNEDIN",NZ,3,LEES STREET,DUNEDIN,,,
"24 EASTBOURNE STREET, CAVERSHAM, DUNEDIN",NZ,24,EASTBOURNE STREET,DUNEDIN,,,
"8 WALDRON CRESCENT, GREEN ISLAND, DUNEDIN",NZ,8,WALDRON CRESCENT,DUNEDIN,,,
"99 MATAI ROAD, WANAKA",NZ,99,MATAI ROAD,WANAKA,,,
"21 THORN STREET, CAVERSHAM, DUNEDIN",NZ,21,THORN STREET,DUNEDIN,,,
"40 FACHE STREET, CLYDE",NZ,40,FACHE STREET,CLYDE,,,
"6 OHAU DRIVE, LAKE OHAU, OMARAMA",NZ,6,OHAU DRIVE,OMARAMA,,,
"654 LAKE HAWEA-ALBERT TOWN ROAD, ALBERT TOWN, WANAKA",NZ,654,LAKE HAWEA-ALBERT TOWN ROAD,WANAKA,,,
"153 VICTORIA ROAD, SAINT CLAIR, DUNEDIN",NZ,153,VICTORIA ROAD,DUNEDIN,,,
"17 ELMWOOD DRIVE, MOSGIEL",NZ,17,ELMWOOD DRIVE,MOSGIEL,,,
"82 CHURCH ROAD, NGARARATUNUA, WHANGAREI",NZ,82,CHURCH ROAD,WHANGAREI,,,
"4292 GLENORCHY-QUEENSTOWN ROAD, GLENORCHY",NZ,4292,GLENORCHY-QUEENSTOWN ROAD,GLENORCHY,,,
"10 BLANTYRE ROAD, WAKARI, DUNEDIN",NZ,10,BLANTYRE ROAD,DUNEDIN,,,
"2 GORDON STREET, KUROW",NZ,2,GORDON STREET,KUROW,,,
"319 MALVERN STREET, GLENLEITH, DUNEDIN",NZ,319,MALVERN STREET,DUNEDIN,,,
"1/136 GREEN LANE EAST, GREENLANE, AUCKLAND",NZ,1/136,GREEN LANE EAST,AUCKLAND,AUCKLAND,,
"18 HASTINGS STREET, WAKARI, DUNEDIN",NZ,18,HASTINGS STREET,DUNEDIN,,,
"66 MARYHILL TERRACE, MARYHILL, DUNEDIN",NZ,66,MARYHILL TERRACE,DUNEDIN,,,
"51A KING STREET, KENSINGTON, WHANGAREI",NZ,51A,KING STREET,WHANGAREI,,,
"7 HEREWEKA STREET, PORTOBELLO, DUNEDIN",NZ,7,HEREWEKA STREET,DUNEDIN,,,
"71 HIGHGATE, BELLEKNOWES, DUNEDIN",NZ,71,HIGHGATE,DUNEDIN,,,
"136 UPTON STREET, WANAKA",NZ,136,UPTON STREET,WANAKA,,,
"150 MOUNT GRAND ROAD, MOUNT GRAND, DUNEDIN",NZ,150,MOUNT GRAND ROAD,DUNEDIN,,,
"43 MITCHELL STREET, ABBOTSFORD, DUNEDIN",NZ,43,MITCHELL STREET,DUNEDIN,,,
"23 GEBBIE STREET, KINMONT PARK, MOSGIEL",NZ,23,GEBBIE STREET,MOSGIEL,,,
"5 FAIRFAX STREET, MAORI HILL, DUNEDIN",NZ,5,FAIRFAX STREET,DUNEDIN,,,
"71 COUNTRY PALMS DRIVE, HALSWELL, CHRISTCHURCH",NZ,71,COUNTRY PALMS DRIVE,CHRISTCHURCH,,,
"22 HARRINGTON STREET, LAWRENCE",NZ,22,HARRINGTON STREET,LAWRENCE,,,
"30 CEDAR CRESCENT, MOSGIEL",NZ,30,CEDAR CRESCENT,MOSGIEL,,,
"5 CAMPBELL STREET, OWAKA",NZ,5,CAMPBELL STREET,OWAKA,,,
"544 HIGHGATE, MAORI HILL, DUNEDIN",NZ,544,HIGHGATE,DUNEDIN,,,
"48 THOMAS STREET, RANFURLY",NZ,48,THOMAS STREET,RANFURLY,,,
"34 AIRPORT ROAD, OMARAMA, OMARAMA",NZ,34,AIRPORT ROAD,OMARAMA,,,
"5 CLAREMONT STREET, MAORI HILL, DUNEDIN",NZ,5,CLAREMONT STREET,DUNEDIN,,,
"39 RIMU STREET, TE KAUWHATA",NZ,39,RIMU STREET,TE KAUWHATA,,,
"50 ARGYLE STREET, MORNINGTON, DUNEDIN",NZ,50,ARGYLE STREET,DUNEDIN,,,
"34 CENTENNIAL AVENUE, ARROWTOWN",NZ,34,CENTENNIAL AVENUE,ARROWTOWN,,,
"74 CEDAR DRIVE, KELVIN HEIGHTS, QUEENSTOWN",NZ,74,CEDAR DRIVE,QUEENSTOWN,,,
"50 STEWART STREET, FRANKTON, QUEENSTOWN",NZ,50,STEWART STREET,QUEENSTOWN,,,
"28 FREYBERG AVENUE, KUROW",NZ,28,FREYBERG AVENUE,KUROW,,,
"26 MACPHERSON STREET, WANAKA",NZ,26,MACPHERSON STREET,WANAKA,,,
"47 KINMONT CRESCENT, KINMONT PARK, MOSGIEL",NZ,47,KINMONT CRESCENT,MOSGIEL,,,
"146 CHAPMAN STREET, WAKARI, DUNEDIN",NZ,146,CHAPMAN STREET,DUNEDIN,,,
"545 CLYDEVALE ROAD, WAIRUNA, CLINTON",NZ,545,CLYDEVALE ROAD,CLINTON,,,
"17 RENTONS ROAD, MOSGIEL",NZ,17,RENTONS ROAD,MOSGIEL,,,
"11 KINNIBEG STREET, ALBERT TOWN, WANAKA",NZ,11,KINNIBEG STREET,WANAKA,,,
"124 WYNYARD CRESCENT, FERNHILL, QUEENSTOWN",NZ,124,WYNYARD CRESCENT,QUEENSTOWN,,,
"76 FORFAR STREET, MOSGIEL",NZ,76,FORFAR STREET,MOSGIEL,,,
"3207 GIBBSTON HIGHWAY, KAWARAU GORGE, CROMWELL",NZ,3207,GIBBSTON HIGHWAY,CROMWELL,,,
"25 AGNES STREET, KENMURE, DUNEDIN",NZ,25,AGNES STREET,DUNEDIN,,,
"70 ARTHURS POINT ROAD, ARTHURS POINT, QUEENSTOWN",NZ,70,ARTHURS POINT ROAD,QUEENSTOWN,,,
"38 CARDIGAN STREET, ARROWTOWN",NZ,38,CARDIGAN STREET,ARROWTOWN,,,
"203 FACTORY ROAD, MOSGIEL",NZ,203,FACTORY ROAD,MOSGIEL,,,
"31 ALPHA STREET, CROMWELL",NZ,31,ALPHA STREET,CROMWELL,,,
"125 DALEFIELD ROAD, DALEFIELD, QUEENSTOWN",NZ,125,DALEFIELD ROAD,QUEENSTOWN,,,
"2 FORFAR STREET, MOSGIEL",NZ,2,FORFAR STREET,MOSGIEL,,,
"103 BEACON POINT ROAD, WANAKA",NZ,103,BEACON POINT ROAD,WANAKA,,,
"61 GREENS ROAD, TUAHIWI, KAIAPOI",NZ,61,GREENS ROAD,KAIAPOI,,,
"12 MULBERRY LANE, WANAKA",NZ,12,MULBERRY LANE,WANAKA,,,
"32 MORNINGTON ROAD, BALACLAVA, DUNEDIN",NZ,32,MORNINGTON ROAD,DUNEDIN,,,
"4 SYCAMORE PLACE, WANAKA",NZ,4,SYCAMORE PLACE,WANAKA,,,
"5 SARITA PLACE, CROMWELL",NZ,5,SARITA PLACE,CROMWELL,,,
"24 FACHE STREET, CLYDE",NZ,24,FACHE STREET,CLYDE,,,
"34 LAKE AVENUE, FRANKTON, QUEENSTOWN",NZ,34,LAKE AVENUE,QUEENSTOWN,,,
"11 JASON STREET, HELENSBURGH, DUNEDIN",NZ,11,JASON STREET,DUNEDIN,,,
"8 MONAGHAN STREET, CROMWELL",NZ,8,MONAGHAN STREET,CROMWELL,,,
"18 POPLAR DRIVE, KELVIN HEIGHTS, QUEENSTOWN",NZ,18,POPLAR DRIVE,QUEENSTOWN,,,
"13 MURRAY TERRACE, CROMWELL",NZ,13,MURRAY TERRACE,CROMWELL,,,
"163 DIXONS ROAD, LOBURN",NZ,163,DIXONS ROAD,LOBURN,,,
"50 HELENSBURGH ROAD, HALFWAY BUSH, DUNEDIN",NZ,50,HELENSBURGH ROAD,DUNEDIN,,,
"32 BROWNSTON STREET, WANAKA",NZ,32,BROWNSTON STREET,WANAKA,,,
"92 FRANKTON ROAD, QUEENSTOWN",NZ,92,FRANKTON ROAD,QUEENSTOWN,,,
"20 HASTINGS STREET, WAKARI, DUNEDIN",NZ,20,HASTINGS STREET,DUNEDIN,,,
"70 COLUMBA AVENUE, CALTON HILL, DUNEDIN",NZ,70,COLUMBA AVENUE,DUNEDIN,,,
"29 BERNARD ROAD, ALBERT TOWN, WANAKA",NZ,29,BERNARD ROAD,WANAKA,,,
"16 MOONEY ROAD, SPEARGRASS FLAT, QUEENSTOWN",NZ,16,MOONEY ROAD,QUEENSTOWN,,,
"35 GOODALL STREET, MOSGIEL",NZ,35,GOODALL STREET,MOSGIEL,,,
"11 COGHILL ROAD, WAITAHUNA, LAWRENCE",NZ,11,COGHILL ROAD,LAWRENCE,,,
"91 MILTON ROAD, OTUMOETAI, TAURANGA",NZ,91,MILTON ROAD,TAURANGA,,,
"9 BIDSTON STREET, OUTRAM",NZ,9,BIDSTON STREET,OUTRAM,,,
"48 INNISCORT STREET, CROMWELL",NZ,48,INNISCORT STREET,CROMWELL,,,
"36 MURE STREET, MOSGIEL",NZ,36,MURE STREET,MOSGIEL,,,
"1 TURNBERRY CRESCENT, MORRINSVILLE",NZ,1,TURNBERRY CRESCENT,MORRINSVILLE,,,
"146 EDDYSTONE STREET, KAITANGATA",NZ,146,EDDYSTONE STREET,KAITANGATA,,,
"4 MARINER STREET, CALTON HILL, DUNEDIN",NZ,4,MARINER STREET,DUNEDIN,,,
"38 SCHOOL STREET, KAIKORAI, DUNEDIN",NZ,38,SCHOOL STREET,DUNEDIN,,,
"36 FALCON STREET, KAIKORAI, DUNEDIN",NZ,36,FALCON STREET,DUNEDIN,,,
"186 GORDON ROAD, MOSGIEL",NZ,186,GORDON ROAD,MOSGIEL,,,
"61 FACTORY ROAD, MOSGIEL",NZ,61,FACTORY ROAD,MOSGIEL,,,
"27 MCINTOSH ROAD, BRIGHTON, DUNEDIN",NZ,27,MCINTOSH ROAD,DUNEDIN,,,
"15 PERTH STREET, MOSGIEL",NZ,15,PERTH STREET,MOSGIEL,,,
"11 HOWORTH ROAD, FAIRFIELD, DUNEDIN",NZ,11,HOWORTH ROAD,DUNEDIN,,,
"55 WOODHAUGH STREET, WOODHAUGH, DUNEDIN",NZ,55,WOODHAUGH STREET,DUNEDIN,,,
"9 LANES ROAD, BRIDGE HILL, ALEXANDRA",NZ,9,LANES ROAD,ALEXANDRA,,,
"14 TEIGNMOUTH STREET, ABBOTSFORD, DUNEDIN",NZ,14,TEIGNMOUTH STREET,DUNEDIN,,,
"14 THOMAS STREET, SOUTH DUNEDIN, DUNEDIN",NZ,14,THOMAS STREET,DUNEDIN,,,
"5 POOLE LANE, QUEENSTOWN",NZ,5,POOLE LANE,QUEENSTOWN,,,
"15 ELIZABETH STREET, BALCLUTHA",NZ,15,ELIZABETH STREET,BALCLUTHA,,,
"6 HASSING PLACE, CROMWELL",NZ,6,HASSING PLACE,CROMWELL,,,
"6 ESPLANADE, KAKA POINT",NZ,6,ESPLANADE,KAKA POINT,,,
"8 PEREGRINE PLACE, QUEENSTOWN",NZ,8,PEREGRINE PLACE,QUEENSTOWN,,,
"15 ESTUARY CRESCENT, FAIRFIELD, DUNEDIN",NZ,15,ESTUARY CRESCENT,DUNEDIN,,,
"32 AJAX STREET, MILTON",NZ,32,AJAX STREET,MILTON,,,
"89 GRENDON STREET, MAORI HILL, DUNEDIN",NZ,89,GRENDON STREET,DUNEDIN,,,
"9 WILLIAMS STREET, SUNSHINE BAY, QUEENSTOWN",NZ,9,WILLIAMS STREET,QUEENSTOWN,,,
"7 SPRUCE CLOSE, ALEXANDRA",NZ,7,SPRUCE CLOSE,ALEXANDRA,,,
"12 BRINSDON ROAD, HALFWAY BUSH, DUNEDIN",NZ,12,BRINSDON ROAD,DUNEDIN,,,
"22 PENRICH STREET, ABBOTSFORD, DUNEDIN",NZ,22,PENRICH STREET,DUNEDIN,,,
"926 TUAPEKA MOUTH ROAD, TUAPEKA MOUTH, CLYDEVALE",NZ,926,TUAPEKA MOUTH ROAD,CLYDEVALE,,,
"16 SHEEN STREET, ROSLYN, DUNEDIN",NZ,16,SHEEN STREET,DUNEDIN,,,
"25 TARN CLOSE, PYES PA, TAURANGA",NZ,25,TARN CLOSE,TAURANGA,,,
"1270 MANUKA GORGE HIGHWAY, MANUKA CREEK, LAWRENCE",NZ,1270,MANUKA GORGE HIGHWAY,LAWRENCE,,,
"1 REECE CRESCENT, WANAKA",NZ,1,REECE CRESCENT,WANAKA,,,
"8 THOMSON STREET, GREEN ISLAND, DUNEDIN",NZ,8,THOMSON STREET,DUNEDIN,,,
"6 TILL STREET, ROXBURGH",NZ,6,TILL STREET,ROXBURGH,,,
"15 CROSS STREET, MILTON",NZ,15,CROSS STREET,MILTON,,,
"8 MAYFAIR GROVE, ALEXANDRA",NZ,8,MAYFAIR GROVE,ALEXANDRA,,,
"112 PEGASUS BOULEVARD, PEGASUS",NZ,112,PEGASUS BOULEVARD,PEGASUS,,,
"41 WYNYARD CRESCENT, FERNHILL, QUEENSTOWN",NZ,41,WYNYARD CRESCENT,QUEENSTOWN,,,
"88 MAIN SOUTH ROAD, GREEN ISLAND, DUNEDIN",NZ,88,MAIN SOUTH ROAD,DUNEDIN,,,
"44 FACHE STREET, CLYDE",NZ,44,FACHE STREET,CLYDE,,,
"685 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,685,PENINSULA ROAD,QUEENSTOWN,,,
"347 PENINSULA ROAD, KELVIN HEIGHTS, QUEENSTOWN",NZ,347,PENINSULA ROAD,QUEENSTOWN,,,
"16 MAHENO STREET, MAORI HILL, DUNEDIN",NZ,16,MAHENO STREET,DUNEDIN,,,
"74 FACHE STREET, CLYDE",NZ,74,FACHE STREET,CLYDE,,,
"90 FITZPATRICK ROAD, DALEFIELD, QUEENSTOWN",NZ,90,FITZPATRICK ROAD,QUEENSTOWN,,,
