address,country_code,house_number,street,town,state,postal_code,country
"70 ROY CRESCENT, CONCORD, DUNEDIN",NZ,70,ROY CRESCENT,DUNEDIN,,,
"2 HERIOT ROW, DUNEDIN CENTRAL, DUNEDIN",NZ,2,HERIOT ROW,DUNEDIN,,,
"304 TAIERI ROAD, HALFWAY BUSH, DUNEDIN",NZ,304,TAIERI ROAD,DUNEDIN,,,
"344 BEACON POINT ROAD, WANAKA",NZ,344,BEACON POINT ROAD,WANAKA,,,
"20 TURNER STREET, HALFWAY BUSH, DUNEDIN",NZ,20,TURNER STREET,DUNEDIN,,,
"60 OAKWOOD AVENUE, MARYHILL, DUNEDIN",NZ,60,OAKWOOD AVENUE,DUNEDIN,,,
"436 HAUGH ROAD, EDIEVALE, TAPANUI",NZ,436,HAUGH ROAD,TAPANUI,,,
"83 WALTON PARK AVENUE, FAIRFIELD, DUNEDIN",NZ,83,WALTON PARK AVENUE,DUNEDIN,,,
"134 BROWNSTON STREET, WANAKA",NZ,134,BROWNSTON STREET,WANAKA,,,
"3 BOTTICELLI MEWS, ROLLESTON",NZ,3,BOTTICELLI MEWS,ROLLESTON,,,
"3 KOWHAI DRIVE, WANAKA",NZ,3,KOWHAI DRIVE,WANAKA,,,
"63 COCKERELL STREET, BROCKVILLE, DUNEDIN",NZ,63,COCKERELL STREET,DUNEDIN,,,
"1693 HIGHCLIFF ROAD, PORTOBELLO, DUNEDIN",NZ,1693,HIGHCLIFF ROAD,DUNEDIN,,,
"12 TRAQUAIR STREET, CORSTORPHINE, DUNEDIN",NZ,12,TRAQUAIR STREET,DUNEDIN,,,
"388 TAIERI ROAD, HALFWAY BUSH, DUNEDIN",NZ,388,TAIERI ROAD,DUNEDIN,,,
"8 MAREWA STREET, KEW, DUNEDIN",NZ,8,MAREWA STREET,DUNEDIN,,,
"72 ALBERT STREET, SAINT CLAIR, DUNEDIN",NZ,72,ALBERT STREET,DUNEDIN,,,
"7 RIVERBANK ROAD, WANAKA",NZ,7,RIVERBANK ROAD,WANAKA,,,
"66 RATA STREET, WANAKA",NZ,66,RATA STREET,WANAKA,,,
"186 WEBB ROAD, WAIPAHI, GORE",NZ,186,WEBB ROAD,GORE,,,
"390 WAITAHUNA GULLY ROAD, WAITAHUNA GULLY, LAWRENCE",NZ,390,WAITAHUNA GULLY ROAD,LAWRENCE,,,
"45 HUNTER CRESCENT, WANAKA",NZ,45,HUNTER CRESCENT,WANAKA,,,
